Województwo;Powiat/Miasto;Liczba;Liczba zgonów;Id
Cała Polska;Łącznie;111;3;t0000
śląskie;będziński;1;;t2401
dolnośląskie;bolesławiecki;1;;t0201
śląskie;Chorzów;1;;t2463
śląskie;cieszyński;3;;t2403
pomorskie;Gdańsk;2;;t2261
lubelskie;janowski;5;;t0605
świętokrzyskie;Kielce;1;;t2661
małopolskie;Kraków;1;;t1261
opolskie;krapkowicki;1;;t1605
podkarpackie;leżajski;7;;t1808
lubelskie;lubartowski;1;;t0608
lubelskie;Lublin;9;1;t0663
łódzkie;łódzki wschodni;1;;t1006
łódzkie;Łódź;8;;t1061
dolnośląskie;oleśnicki;1;;t0214
warmińsko-mazurskie;Olsztyn;3;;t2862
świętokrzyskie;ostrowiecki;3;;t2607
warmińsko-mazurskie;ostródzki;1;;t2815
łódzkie;pabianicki;1;;t1008
mazowieckie;piaseczyński;1;;t1418
łódzkie;poddębicki;1;;t1011
zachodniopomorskie;policki;2;;t3211
wielkopolskie;Poznań;7;1;t3064
mazowieckie;pruszkowski;3;;t1421
śląskie;Rybnik;5;;t2473
podkarpackie;Rzeszów;1;;t1863
lubuskie;słubicki;1;;t0805
śląskie;Sosnowiec;1;;t2475
zachodniopomorskie;stargardzki;3;;t3214
opolskie;strzelecki;3;;t1611
warmińsko-mazurskie;szczycieński;1;;t2817
lubelskie;tomaszowski;1;;t0618
łódzkie;tomaszowski;1;;t1016
mazowieckie;Warszawa;17;;t1465
dolnośląskie;Wrocław;11;1;t0264
śląskie;zawierciański;1;;t2416
